species,cell_type,Physical_Integrity,nb_morphologies,morphology
mouse,projection,Axon Complete,10,165421.swc
mouse,projection,Axon Complete,10,172992.swc
mouse,projection,Axon Complete,10,172993.swc
mouse,projection,Axon Complete,10,172994.swc
mouse,projection,Axon Complete,10,172995.swc
mouse,projection,Axon Complete,10,172996.swc
mouse,projection,Axon Complete,10,172997.swc
mouse,projection,Axon Complete,10,172998.swc
mouse,projection,Axon Complete,10,172999.swc
mouse,projection,Axon Complete,10,173000.swc
